時間,設備,值
2024-10-12 13:48:27,"SA-08/LED_LEVEL, 7"
2024-10-12 13:48:27,"SA-08/LED_LEVEL, 7"
2024-10-12 14:23:46,"SA-08/LED_LEVEL, 7"
2024-10-12 16:20:19,SA-01/LED_LEVEL,5
2024-10-12 16:20:26,SA-01/LED_LEVEL,6
2024-10-12 16:20:29,SA-01/LED_LEVEL,7
2024-10-12 16:20:31,SA-01/LED_LEVEL,8
2024-10-12 16:20:32,SA-01/LED_LEVEL,9
2024-10-12 16:20:34,SA-01/LED_LEVEL,8
2024-10-12 16:20:35,SA-01/LED_LEVEL,7
2024-10-12 16:20:35,SA-01/LED_LEVEL,6
2024-10-12 16:20:36,SA-01/LED_LEVEL,5
2024-10-12 16:20:37,SA-01/LED_LEVEL,4
2024-10-12 16:20:38,SA-01/LED_LEVEL,3
2024-10-12 16:20:39,SA-01/LED_LEVEL,2
2024-10-12 16:20:40,SA-01/LED_LEVEL,3
2024-10-12 16:20:40,SA-01/LED_LEVEL,4
